Question,Answer
ما هو نظام السياحة؟,هو نظام صادر بمرسوم ملكي رقم (م/18) بتاريخ 26-01-1444ه وبقرار من مجلس الوزراء رقم (79) بتاريخ 25-01-1444ه، الذي ينظّم عمل الأنشطة السياحية وعملية إصدار التراخيص والتصاريح ويحدد المعايير والاشتراطات لممارسة الأنشطة السياحية التي تدخل ضمن اختصاص الوزارة، كما يحدد المخالفات والعقوبات لمخالفي النظام ولوائحه.
هل وضعت الوزارة تصنيفًا للأنشطة السياحية ومعايير لها ؟,نعم، يوجد معايير تصنيف للأنشطة السياحية، وهي تختلف بحسب النشاط السياحي ونوع النشاط المطلوب الترخيص له.
ما هي لوائح نظام السياحة؟,اللوائح الصادرة بناءً على نظام السياحة بقرار من الوزير، هي: • لوائح الأنشطة السياحية: (لائحة مرفق الضيافة السياحي، لائحة خدمات السفر والسياحة، لائحة الإرشاد السياحي، لائحة إدارة مرافق الضيافة السياحية، لائحة مرفق الضيافة السياحي الخاص، لائحة الاستشارات السياحية، لائحة الأنشطة التجريبية) • لوائح ضبط الجودة ومراقبة الخدمات: (لائحة لجنة النظر في مخالفات نظام السياحة ولوائحه، لائحة التفتيش على الأنشطة السياحية) • لائحة تعنى بتمكين القطاع السياحي وتفعيله : لائحة تطوير الوجهات • لائحة تعنى بالزوار: (لائحة تأشيرة الزيارة لغرض السياحة) وللمزيد من التفاصيل، يمكن الاطلاع على اللوائح في موقع الوزارة mt.gov.sa.
ماهي مميزات لوائح نظام السياحة التي أصدرتها الوزارة؟,1- تطوير الأنشطة السياحية المعتمدة قبل صدور نظام السياحة واستحداث أنشطة جديدة في القطاع السياحي 2- تمكين القطاع وتسهيل متطلبات إصدار الرخص للأنشطة السياحية 3- تحديد الالتزامات على ممارسي الأنشطة السياحية بما يضمن جودة الخدمات المقدمة وحقوق السياح. 4- ضمان الاستدامة في المرافق السياحية وتطوير العاملين في القطاع السياحي 5- المساهمة في جذب الاستثمار وزيادة التنافسية في القطاع
هل تضمن لوائح نظام السياحة حقوق السائح؟,نعم، من خلال ما نصت عليه اللوائح من التزامات تتعلق بالخدمات المقدمة للسائح وما يرتبط بها من مخالفات وعقوبات تُطبّق بحق المخالفين.
هل وضعت الوزارة آلية للرقابة على الأنشطة السياحية؟,نعم، أصدرت الوزارة لائحة التفتيش على الأنشطة السياحية، وذلك لمراقبة مدى الالتزام في الخدمات المقدمة من ممارسي الأنشطة السياحي وضبط المخالفات وإصدار العقوبات وفق جداول المخالفات والعقوبات المعتمدة للأنشطة السياحية.
هل سيتم تغيير تصنيف مرافق الضيافة السياحية بناءً على المعايير الجديدة؟,نعم، وفقًا لأحكام (لائحة مرفق الضيافة السياحي) وأنواع مرافق الضيافة السياحية ومعايير التصنيف. وللمزيد من التفاصيل، يمكن الاطلاع على لائحة مرفق الضيافة السياحي ومعايير التصنيف من خلال زيارة موقع الوزارة mt.gov.sa.
ماهي فترة المواءمة التي أطلقتها الوزارة؟ ومتى تنتهي؟,هي فترة منحت لكل مرخص يزاول إحدى الأنشطة السياحية، وذلك لتعديل أوضاعه لتتوافق مع نظام السياحة ولوائحه التنفيذية. انتهت هذه الفترة بتاريخ 25 مارس 2023م.
كيف يمكنني الحصول على ترخيص لإحدى الأنشطة السياحية؟,على من يرغب بالحصول على ترخيص لإحدى الأنشطة السياحية التقدم بطلب عبر بوابة التراخيص من خلال الرابط الآتي:. TLG.Mt.gov.sa
هل يترتّب أي مقابل مالي على إصدار تراخيص الأنشطة السياحية والخدمات المقدمة من الوزارة؟,نعم، يترتب مقابل مالي لإصدار تراخيص الأنشطة السياحية والخدمات المقدمة من الوزارة، وهو منصوص عليه في جدول المقابل المالي الملحق باللائحة المعتمدة للنشاط حيث يختلف باختلاف النشاط والخدمات المطلوبة. وللمزيد من التفاصيل، يمكن الاطلاع على اللوائح وجدول المقابل المالي الملحق بها من خلال زيارة موقع الوزارة mt.gov.sa
ما هو النشاط الذي يتطلب تقديم ضمان مالي لإصدار ترخيص؟,يقتصر تقديم الضمان المالي فقط على أنشطة خدمات السفر والسياحة، ولا يشمل سوى الفئات الآتية: •فئة تنظيم رحلات سياحية •خدمات سفر وسياحة عامة وللمزيد من التفاصيل، يمكن الاطلاع على (دليل خدمات لائحة السفر والسياحة) في موقع الوزارة mt.gov.sa.
ما هي الأنشطة السياحية التي يتطلب ترخيصها وجود مقر للمكتب؟,يتطلب ترخيص بعض الأنشطة السياحية وجود مقر للمكتب بشكل إلزامي، ويمكن للبعض الآخر منها أن يكون في مقر مكتب أو في منصة إلكترونية. وللمزيد من التفاصيل، يمكن الاطلاع على (دليل الخدمات أو لائحة النشاط المراد التقدم له بطلب الترخيص) في موقع الوزارة mt.gov.sa.
هل توجد متطلبات أساسية لإصدار الترخيص؟,نعم، توجد متطلبات أساسية لاستخراج الترخيص، وهي تختلف باختلاف كل نشاط سياحي. وللمزيد من التفاصيل، يمكن الاطلاع على (بوابة التراخيص) في موقع الوزارة mt.gov.sa.
ما هي قنوات الإبلاغ عن الشكوى المقدمة من قبل السائح؟,عن طريق إحدى القنوات الآتية: • موقع الوزارة • الاتصال على الرقم الموحد 930
ما هي الأنشطة السياحية التي ترخّص أو تصرّح من وزارة السياحة؟,تعنى وزارة السياحة بالترخيص أو التصريح لممارسة الأنشطة الآتية: 1. خدمات السفر والسياحة 2. مرفق الضيافة السياحي 3. إدارة مرافق الضيافة 4. مرفق الضيافة السياحي الخاص 5. الإرشاد السياحي 6. الاستشارات السياحية 7. الأنشطة التجريبية يمكن الاطلاع على الإجراءات والاشتراطات المطلوبة بالانتقال إلى صفحة تراخيص الأنشطة السياحية عبر زيارة بوابة التراخيص من خلال الرابط الآتي: .TLG.Mt.gov.sa
كيف يمكنني الحصول على ترخيص؟,يتمّ التقدم بطلب الترخيص وفقًا للاشتراطات النشاط المطلوب ومتطلباته من خلال زيارة بوابة التراخيص. TLG.Mt.gov.sa.
هل توجد متطلبات أساسية لإصدار الترخيص؟ وما هي؟,نعم، توجد متطلبات أساسية لاستخراج الترخيص، نذكر منها: • سجل تجاري (باستثناء نشاط الإرشاد السياحي والاستشارات السياحية 'للأفراد' • رخصة البلدية (باستثناء نشاط الإرشاد السياحي والاستشارات السياحية 'للأفراد' • حساب في خدمة النفاذ الموحد (أبشر) • عنوان وطني وللمزيد من التفاصيل، يمكن الاطلاع على بوابة التراخيص من خلال الرابط الآتي : TLG.Mt.gov.sa
هل يترتّب أي مقابل مالي على إصدار تراخيص الأنشطة السياحية؟,نعم، وضحت لوائح الأنشطة السياحية وأدلة الخدمات شروط ومتطلبات إصدار تراخيص الأنشطة السياحية كافة، ومن ضمنها المقابل المالي لقاء هذه الخدمة. ويمكن الاطلاع على لائحة النشاط المختار المراد ترخيصه أو على دليل الخدمات التابع له من خلال زيارة موقع الوزارة في الرابط الآتي: mt.gov.sa
هل يتوجّب دفع مقابل مالي للترخيص مرة واحدة فقط أو بشكل مستمر سنويًا؟,يدفع المقابل المالي حسب النشاط المتقدم بطلب الترخيص له والمدة التي يتم اختيارها عند إصدار الترخيص، وهناك مقابل مالي لتجديد الترخيص يختلف عن المقابل المالي للإصدار. وللمزيد من التفاصيل، يمكن الاطلاع على اللوائح وجدول المقابل المالي الملحق بها من خلال زيارة موقع الوزارة mt.gov.sa.
هل ينبغي تقديم ضمانات مالية لإصدار الترخيص؟,ينبغي تقديم ضمانات مالية للحصول على ترخيص نشاط خدمات السفر والسياحة لفئة تنظيم الرحلات السياحة ولفئة خدمات السفر والسياحةعام . للمزيد من المعلومات، يمكن الاطلاع على لائحة النشاط السياحي المراد ترخيصه أو دليل خدمات لائحة النشاط المستهدف بالترخيص من خلال زيارة موقع الوزارة.mt.gov.sa.
