,city,attractionSite,description,image,Latitude,Longitude
0,Riyadh,Sky Bridge at Kingdom Center,A panoramic view of the beauty of Riyadh.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/articles/a162-skybridge-at-kingdom-center/image-3/The_Sky_Bridge_Hero_Banner.jpg,24.679722,46.715278
1,Riyadh,Rawdat Tinhat,"The largest natural meadow in Saudi Arabia, the location, beauty landmarks &amp; possible activities.",https://www.visitsaudi.com/content/dam/saudi-tourism/media/articles/a188-rawdat-tinhat/1920x1080/A188_Rawdat_Tinhat_1.jpg,24.575278,46.698611
2,Riyadh,Al Murabba Palace,"The palace that was once the home of King Abdulaziz Al Saud, the founder of the kingdom.",https://www.visitsaudi.com/content/dam/saudi-tourism/media/highlights/a128/Al-Murabba-Palace.jpg,24.675833,46.716111
3,Riyadh,Saqr Al-Jazira Aviation Museum,"Your destination where heritage, ancient and modern mechanisms of warfare in one place.",https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/saqer-aljazirah-aviation-museum.jpg,24.658333,46.733333
4,Riyadh,Wadi Namar,Great times of contacting nature in picturesque Wadi Namar Park.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/wadi-namar.jpg,24.541667,46.666667
5,Riyadh,Edge of the World,You should not miss the opportunity of standing at the edge of the world. ,https://www.visitsaudi.com/content/dam/press-release/STA_Edge-of-the-World.jpeg,24.475,46.633333
6,Riyadh,The Saudi National Museum,Discover the contents of the Saudi National Museum and its enriching opportunities for knowledge.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/the-national-museum-of-saudi-arabia-desktop.jpg,24.683333,46.716667
7,Riyadh,Al Faisaliah Tower,Do not miss the opportunity to visit the first skyscraper in Saudi Arabia.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/burj-alfaisalia-in-riyadh.jpg,24.679167,46.716944
8,Riyadh,Heet Cave,You are promised to see one of the most beautiful natural landmarks in Saudi Arabia.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/heet-cave-in-riyadh-article.jpg,24.533333,46.65
9,Riyadh,Alwaha Park,A break in a lush natural oasis to spend beautiful times with family and friends.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/alwaha-park-in-riyadh-banner.jpg,24.65,46.741667
10,Riyadh,Abstract Art Gallery,A place that gathers art enthusiasts and professionals and a destination for visual pleasure.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/abstract-art-gallery.JPG,24.677778,46.718889
11,Riyadh,Discover Al Kharrarah National Park,Where wonderful nature promises you of a wonderful trip.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/discover-alkharrarah-national-park.jpg,24.683333,46.716667
12,Riyadh,Al Masmak Palace,Discover the glories of Saudi history in the corridors of the ancient Al Masmak Palace.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/almasmak-fortress.jpg,24.677778,46.718889
13,Riyadh,Riyadh Season,"There are over 8,500 art, music, theatre, food and sports events.",https://www.visitsaudi.com/content/dam/riyadh-season/Riyadh-Season-Hero-banner.jpg,24.677778,46.718889
14,Riyadh,Boulevard Riyadh City,The largest entertainment area in the capital city of Riyadh,https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/boulevard-riyadh.jpg,24.683333,46.716667
15,Riyadh,Al Areen Equestrian Club,"Al Areen Equestrian Club for horse riding enthusiasts in Riyadh, horse stable in Riyadh.",https://www.visitsaudi.com/content/dam/saudi-tourism/media/riyadh-articles/al-areen-equestrian.jpg,24.483333,46.583333
16,Diriyah,Historical palaces not to miss in Diriyah,A journey through time to witness the ancient history of Saudi Arabia.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/must-visit-historical-palaces-in-diriyah.JPG,24.677778,46.718889
17,Diriyah,Diriyah Flagpole,Learn about the tallest and largest flagpole in Saudi Arabia.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/diriyah-flagpole.jpg,24.678333,46.716667
18,Diriyah,Samhan Farm,The fascinating Samhan Farm takes care of all details and provides all types of services.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/samhan-farm-in-diriyah.jpg,24.483333,46.583333
19,Diriyah,Muhammad ibn Abd Al-Wahhab Mosque, Its history dates back to the first Saudi state.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/muhammad-ibn-abd-al-wahhab-mosque.jpg,24.677778,46.718889
20,Diriyah,Diriyah Museums,Museums full of Diriyah's rich ancient past and growing culture.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/explore-museums-of-diriyah.jpg,24.677778,46.718889
21,Diriyah,Historical Diriyah,Explore what makes Diriyah one of the most charming destinations in Saudi Arabia.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/historical-dir-iyah.jpg,24.677778,46.718889
22,Diriyah,Family Day in Diriyah,Many options for an unforgettable trip to Diriyah with your family.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/family-day-in-diriyah-salwa.JPG,24.677778,46.718889
23,Diriyah,Touring on Bikes,Do not miss out on the experience of bike-riding in the exceptional Diriyah atmosphere. ,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/bicycles-in-spin.jpg,24.677778,46.718889
24,Diriyah,Al-Bujairi Heritage Tourist Park,Enjoy the most beautiful times in the wonderful Al-Bujairi Park in Diriyah.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/albujairi-heritage-tourist-park.jpg,24.677778,46.718889
25,Diriyah,Wadi Hanifa,Explore the famous Wadi Hanifa and learn about the many wonderful activities on its bank.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/wadi-hanifah.jpg,24.677778,46.718889
26,Diriyah,Wadi Safar Dam ,Pure nature and diversity of activities in Wadi Safar dam.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/wadi-safar.jpg,24.65,46.741667
27,Diriyah,Archery Range in Diriyah ,"Between open air darts, smash room, and indoor games.",https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/archery-range-in-diriyah.jpg,24.677778,46.718889
28,Diriyah,Mondial Courts in Diriyah ,15 fully-equipped courts for sports lovers.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/mondial-courts.jpg,24.677778,46.718889
29,Diriyah,Sofie Farm ,Where nature takes you on a rural trip at Sophie farm in Diriyah.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/sofie-farm-in-diriyah.jpg,24.483333,46.583333
30,Diriyah,Diriyah Terrace ,Visit the fully equipped Diriyah Terrace for magical and unforgettable moments.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/albujairi-restaurants.jpg,24.677778,46.718889
31,Diriyah,Diriyah Walk ,Revive your energy.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/diriyah-walk.jpg,24.677778,46.718889
32,Diriyah,Gubaira Dam ,Learn about the majestic Ghubaira Dam in Diriyah.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/ghubaira-dam-in-diriyah.jpg,24.483333,46.583333
33,Diriyah,Ghasiba District ,"The oldest district in Diriyah, and the birthplace of its growth.",https://www.visitsaudi.com/content/dam/saudi-tourism/media/diriyah-articles/ghasiba-district-in-diriyah.jpg,24.483333,46.583333
34,Jeddah,Kids Activities in Jeddah ,"From painting to child-friendly sports, here are some places to inspire your kids.",https://www.visitsaudi.com/content/dam/no-dynamic-media-folder/week-3-articles/kids-activities-in-jeddah/Jeddah_Color-Fly-2-flip.jpg,21.521944,39.197778
35,Jeddah,Touring Jeddah’s Best Museums ,Thousands of years of history to discover in Jeddah.,https://www.visitsaudi.com/content/dam/saudi-tourism/media/do/1920x1080/00hero_Jeddah_Museum-of-Abdul-Raoof-Hasan-Khalil-2.jpg,21.521944,39.197778
